"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Ministère  de l'Agriculture";"";"";"";"";"";"";"";"";""
"Cheptel en nombre de têtes";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Total du cheptel bovin";"671.2";"680.4";"685.8";"646.0";"594.5";"410.0";"409.0";"417.0";"388.0"
"Total du cheptel ovin";"6805.7";"6490.2";"6485.6";"3736.0";"3800.0";"4360.0";"4490.0";"5761.0";"4637.0"
"Total du cheptel caprin";"1248.2";"1162.3";"1199.5";"1184.6";"1197.0";"739.0";"793.0";"1207.0";"922.0"
