"NoFilter";"";"";"";"";"";"";"";""
"Unité : Hectar";"";"";"";"";"";"";"";""
"Source : Ministère  de l'Agriculture";"";"";"";"";"";"";"";""
"Les données structurales pour le secteur de l'agriculture";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Superficie agricole utilisée totale (SAU)";"9288730";"9286440";"9273360";"9279480";"9278630";"9275430";"10452740";"10452920"
"Superficie agricole irriguée totale";"381050";"395940";"404410";"436570";"419030";"415930";"437500";"457800"
"Nombre d'exploitations agricoles";"515548";"515880";"516180";"517287";"518233";"518975";"511458";"509810"
