"NoFilter";"";"";"";"";"";"";"";""
"Unité : Hectar";"";"";"";"";"";"";"";""
"Source : Ministère  de l'Agriculture";"";"";"";"";"";"";"";""
"Superficie récoltée";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Total céréale";"1237810";"800240";"1338443";"628971";"1479550";"1440180";"1158600";"1320110"
"Légumineuses sèches, en grains";"93000";"91000";"88000";"84350";"87500";"87640";"81500";"83000"
"Total plantes sarclées";"24550";"24800";"22400";"22370";"23210";"21030";"24300";"27407"
"Toutes plantes oléagineuses";"8060";"9145";"9000";"6040";"10270";"12170";"9690";"9300"
"Total légumes frais, incluant les jardins familiaux";"134650";"139630";"135780";"132770";"156340";"160280";"150400";"--"
"Total fruits y compris jardins familiaux (excluant raisins, olives and dattes)";"365250";"359880";"350840";"341560";"388170";"291700";"289140";"--"
"Total agrumes";"19590";"20020";"20560";"20723";"21827";"22270";"25120";"--"
"Total raisins";"30230";"28440";"27760";"25650";"25710";"25660";"22580";"23370"
"Total olives";"1726740";"1739140";"1758100";"1783230";"1560910";"1570460";"1590300";"1610600"
"Dattes";"39830";"39280";"45950";"47040";"47060";"39880";"45300";"--"
"Total plantes industrielles";"10890";"12725";"11650";"17120";"19890";"19350";"17830";"18470"
"Toutes plantes textiles";"0";"0";"0";"0";"--";"--";"--";"--"
"Tabac brut";"2830";"3580";"2650";"1211";"1257";"1421";"882";"932"
"Total fourrages";"422000";"420000";"422180";"436030";"441310";"427890";"438500";"416950"
