"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Million m3/an";"";"";"";"";"";"";"";"";""
"Source : Ministère de l'agriculture";"";"";"";"";"";"";"";"";""
"Approvisionnement public";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Volume brut d'eau douce fourni par les services d'alimentation en eau (CITI rev4 36)";"1316.9";"1381.3";"1432.3";"1486.5";"1488.0";"1492.0";"--";"--";"--"
"Pertes totales d'eau douce durant le transport";"89.2";"94.4";"102.0";"108.2";"117.6";"124.8";"136.4";"150.8";"161.7"
"Volume net d'eau douce fourni par les services d'alimentation en eau";"923.9";"942.3";"996.3";"1044.5";"1041.0";"1047.0";"--";"--";"--"
"Pourcentage de la population alimentée par les services d'approvisionnement public";"79.8";"80.6";"81.0";"81.4";"81.9";"82.3";"82.6";"82.7";"--"
