"NoFilter";"";"";"";"";"";"";"";""
"Unité : Tonne";"";"";"";"";"";"";"";""
"Source : Direction General  de la pêche et de l'aquaculture";"";"";"";"";"";"";"";""
"Aquaculture";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"MSM - Moule méditerranéenne - Mytilus galloprovincialis";"790";"1105";"1433";"2296";"3725";"5273";"8475";"8124"
"SBG - Dorade royale - Sparus aurata";"793";"788";"1373";"1466";"2119";"1999";"1968";"1869"
"BSS - Bar européen - Dicentrarchus labrax";"379";"395";"388";"354";"262";"275";"315";"269"
"MUF - Mulet à grosse tête - Mugil cephalus";"0";"0";"0";"0";"0";"0";"0";"--"
"CLG - Palourde japonaise - Ruditapes philippinarum";"0";"0";"0";"0";"0";"0";"0";"--"
"BSE - Bars nca - Dicentrarchus spp";"0";"0";"--";"--";"--";"--";"--";"--"
