"NoFilter";"";"";"";"";"";"";"";""
"Unité : Million m3/an";"";"";"";"";"";"";"";""
"Source : Ministère de l'agriculture";"";"";"";"";"";"";"";""
"Bilan hydrologique";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Volume brut d'eau douce prélevé";"2448.3";"2506.6";"2540.7";"2555.3";"2562.2";"2721.0";"--";"--"
"Eaux restituées à l'environnement sans avoir été utilisées";"61.0";"64.0";"63.5";"42.2";"39.0";"52.0";"--";"--"
"Volume net d'eau douce prélevé";"2387.3";"2442.6";"2477.2";"2513.1";"2523.2";"2669.0";"--";"--"
"Eau dessalée";"15.4";"16.5";"18.2";"18.2";"19.5";"19.7";"19.3";"19.7"
"Eau réutilisée";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"--"
"Volume total d'eau douce rendue utilisable";"2469.7";"2526.1";"2562.4";"2598.3";"2609.7";"2755.7";"--";"--"
"Pertes résultant de fuites survenues en cours de transport";"439.0";"436.0";"441.0";"447.0";"445.0";"449.0";"--";"--"
"Production d'eaux usées";"272.1";"280.7";"286.1";"298.1";"304.8";"317.4";"--";"--"
"Evapotranspiration";"1758.7";"1809.4";"1835.3";"1853.2";"1859.9";"1989.3";"--";"--"
