"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Office National du Tourisme Tunisien  (O.N.T.T)";"";"";"";"";"";"";"";"";""
"Capacité d'hébergement par région touristique";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Capacité en lits pour la région touristique Tunis – Zaghouan";"25549";"24108";"22830";"22889";"23071";"21555";"21856";"22122";"22650"
"Capacité en lits pour la région touristique Nabeul – Hammamet";"41078";"40490";"41634";"41166";"41206";"41259";"41253";"41126";"41264"
"Capacité en lits pour la région touristique Sousse – Kairouan";"40138";"40010";"40398";"40872";"40866";"38197";"38273";"38273";"38273"
"Capacité en lits pour la région touristique Yasmine Hammamet";"19724";"19602";"19602";"19602";"19602";"19402";"19402";"19542";"19542"
"Capacité en lits pour la région touristique Monastir – Skanès";"22222";"18848";"19092";"21384";"21517";"21527";"20927";"20450";"21130"
"Capacité en lits pour la région touristique Mahdia-Sfax";"13968";"14022";"14312";"14690";"13927";"14091";"14125";"14125";"14125"
"Capacité en lits pour la région touristique Jerba-Zarzis-Gabes";"57125";"55966";"55000";"55577";"55393";"55426";"54819";"54839";"53114"
"Capacité en lits pour la région touristique Gafsa -Tozeur";"11111";"11332";"10962";"10940";"9724";"9932";"5813";"5763";"5763"
"Capacité en lits pour la région touristique Sbeitla-Kasserine";"570";"572";"572";"522";"766";"943";"943";"943";"937"
"Capacité en lits pour la région touristique Bizerte - Bejà";"3475";"3535";"3383";"3413";"3426";"2666";"2690";"2691";"2691"
"Capacité en lits pour la région touristique Tabarka-Ain Draham";"6432";"6533";"6553";"6563";"6517";"5905";"4721";"4721";"4745"
"Capacité en lits pour l'ensemble des régions touristiques";"241392";"235018";"234338";"237618";"236015";"230903";"229922";"229733";"230726"
