"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Mille tonnes";"";"";"";"";"";"";"";"";""
"Source : Agence pour la maîtrise de l'énergie";"";"";"";"";"";"";"";"";""
"Consommation du carburants";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Gaz de pétrole liquifié";"531";"528";"560";"577";"605";"597";"615";"624";"628"
"Essence super (+sans plomb)";"586";"566";"628";"672";"714";"701";"740";"781";"763"
"Pétrole lampant";"51";"49";"50";"30";"16";"18";"17";"13";"13"
"Essence pour avions";"205";"218";"255";"288";"305";"103";"130";"215";"249"
"Fuel-oil lourd";"506";"286";"284";"295";"246";"234";"238";"234";"189"
"Gaz-oil";"1939";"1963";"2111";"2105";"2007";"1907";"2069";"2030";"1896"
