"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Dinars";"";"";"";"";"";"";"";"";""
"Source : Banque Centrale de Tunisie";"";"";"";"";"";"";"";"";""
"Cours moyen en dinar des principales devises cotées sur le marché de changes interbancaire";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Dollar Etats Unies";"1.6000";"1.9000";"2.0000";"2.3389";"2.4839";"2.9944";"2.7985";"2.7000";"2.8865"
"Euro";"2.2000";"2.3000";"2.2000";"2.4301";"2.9478";"3.4272";"3.1402";"3.3000";"3.2820"
"Yen Japonais en 1000 unités";"16.6000";"15.6000";"16.7000";"19.6612";"21.7561";"27.2235";"25.7710";"26.0000";"24.9482"
"Livre sterling";"2.5000";"2.9000";"3.0000";"2.8411";"3.3113";"3.8309";"3.6924";"3.7000";"3.8709"
"10 Dirahams marocains";"1.9000";"2.1000";"2.0000";"2.2695";"2.6118";"3.1288";"2.9128";"3.0000";"3.1003"
