"NoFilter";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";""
"Données générales";"";"";"";"";"";"";""
"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";""
"";"1984";"1989";"1994";"1999";"2004";"2009";"2014"
"Nombre de logements ( en milliers )";"1313.1";"1512.3";"1868.5";"2204.3";"2550.8";"2886.8";"3289.9"
"Nombre moyen de ménages par logement occupé";"1.1";"1.1";"1.1";"1.1";"1.0";"1.0";"--"
"Nombre moyen de personnes par logements occupé";"6.0";"5.8";"5.5";"5.1";"4.7";"4.3";"--"
