"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Tonnes eq CO2";"";"";"";"";"";"";"";"";""
"Source : Institut National de la statistique";"";"";"";"";"";"";"";"";""
"Emissions des Gaz";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010"
"Emissions de gaz à effet de serre (GES) dans le secteur d'énergie";"23791000";"23835000";"24922000";"25341000";"25883000";"27402000";"27815000";"28000000";"28500000"
"Emission de dioxyde de carbone (CO2) dans le secteur de l'énergie";"21988000";"22067000";"22880000";"23356000";"23712000";"25097000";"25475000";"25645000";"26103000"
"Industries du secteur de l'énergie";"2000";"2000";"2000";"5000";"5000";"5000";"5000";"8950000";"9110000"
"Industries manufacturières et Construction";"12000";"12000";"12000";"11000";"12000";"13000";"13000";"4969000";"5058000"
"Transports";"43000";"44000";"45000";"46000";"47000";"54000";"53000";"6441000";"6556000"
"Autres secteurs";"13000";"13000";"14000";"14000";"14000";"16000";"16000";"4024000";"4096000"
"Autre";"1133000";"957000";"862000";"959000";"853000";"1233000";"1252000";"1261000";"1283000"
"Emissions d'oxyde nitreux (N2O) dans le secteur d'énergie";"500";"500";"500";"500";"500";"500";"500";"500";"500"
"Emissions fugitives de méthane (CH4)";"54200";"54100";"64900";"62400";"70000";"75200";"76300";"76800";"78200"
"Emissions d'oxydes d'azote (NOx) dans le secteur d'énergie";"70000";"71000";"73000";"76000";"78000";"88000";"87000";"--";"--"
"Industries du secteur de l'énergie";"2000";"2000";"2000";"5000";"5000";"5000";"5000";"8950000";"9110000"
"Industries manufacturières et Construction";"12000";"12000";"12000";"11000";"12000";"13000";"13000";"4969000";"5058000"
"Transports";"43000";"44000";"45000";"46000";"47000";"54000";"53000";"6441000";"6556000"
"Autres secteurs";"13000";"13000";"14000";"14000";"14000";"16000";"16000";"4024000";"4096000"
