"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre en millier";"";"";"";"";"";"";"";"";""
"Source : Ministère de l'Intérieur et du Développement Local";"";"";"";"";"";"";"";"";""
"Entrées des tunisiens par voie de transport et poste frontière";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Entrées des tunisiens par voie de transport et poste frontière";"2541";"2924";"3403";"3743";"4113";"1318";"1566";"2906";"4320"
"Voie Aérienne";"1406";"1524";"1730";"1812";"1977";"720";"928";"1534";"1808"
"Voie Terrestre";"821";"1081";"1356";"1639";"1837";"461";"378";"1075";"2214"
"Voie Maritime";"315";"319";"317";"292";"299";"137";"261";"297";"298"
