"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : (1962=100)";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Evolution de l'Indice des prix à la consommation familiale selon l'année de base - IPC";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"octobre 2025";"novembre 2025";"décembre 2025";"janvier 2026";"février 2026";"mars 2026";"avril 2026";"mai 2026";"juin 2026"
"Base (1962=100)";"2803.3";"2804.7";"2811.7";"2819.5";"2821.1";"2848.5";"2879.5";"2889.5";"2894.4"
"Base (1970=100)";"2130.2";"2131.3";"2136.6";"2142.5";"2143.7";"2164.5";"2188.0";"2195.7";"2199.4"
"Base (1977=100)";"1470.1";"1470.8";"1474.5";"1478.6";"1479.4";"1493.8";"1510.0";"1515.3";"1517.9"
"Base (1983=100)";"863.2";"863.7";"865.8";"868.2";"868.7";"877.1";"886.7";"889.8";"891.3"
"Base (1990=100)";"526.1";"526.4";"527.7";"529.2";"529.5";"534.6";"540.4";"542.3";"543.2"
"Base (2000=100)";"338.8";"339.0";"339.8";"340.8";"340.9";"344.3";"348.0";"349.2";"349.8"
"Base (2005=100)";"297.8";"297.9";"298.7";"299.5";"299.7";"302.6";"305.9";"306.9";"307.5"
"Base (2010=100)";"241.0";"241.1";"241.7";"242.4";"242.5";"244.8";"247.5";"248.4";"248.8"
