"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Evolution des entreprises par Nationalité";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Nationalité";"680241";"711442";"740054";"771032";"735043";"782115";"801453";"828821";"825707"
"Tunisienne";"665317";"695701";"723776";"754173";"719904";"766031";"784888";"811842";"808343"
"Etrangère";"14924";"15741";"16278";"16859";"15139";"16084";"16565";"16979";"17364"
