"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Evolution des entreprises par gouvernorat";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Tunisie";"680241";"711442";"740054";"771032";"735043";"782115";"801453";"828821";"825707"
"Gouvernorat de Tunis";"126807";"132566";"137914";"143501";"132995";"140779";"144853";"149143";"148367"
"Gouvernorat de L'Ariana";"47215";"49905";"52957";"54333";"52427";"56011";"57968";"59997";"60311"
"Gouvernorat de Ben Arous";"47532";"49688";"47515";"50281";"49664";"53156";"55186";"57240";"57360"
"Gouvernorat de Manouba";"24907";"25920";"27100";"28201";"25579";"26880";"27299";"27819";"26940"
"Gouvernorat de Nabeul";"50604";"53303";"55939";"58129";"55053";"57479";"58775";"60695";"60510"
"Gouvernorat de Zaghouan";"8272";"8751";"8902";"9442";"9432";"10214";"10426";"10856";"10700"
"Gouvernorat de Bizerte";"31932";"33335";"34967";"36331";"33128";"35031";"35712";"36869";"36071"
"Gouvernorat de Bèja";"16310";"16741";"17410";"17874";"16203";"17008";"17302";"17832";"17189"
"Gouvernorat de Jendouba";"16934";"17555";"18356";"18861";"17936";"18593";"18737";"19161";"18563"
"Gouvernorat du Kef";"11219";"11525";"11774";"11982";"10895";"11300";"11227";"11285";"10851"
"Gouvernorat de Siliana";"8789";"9184";"9657";"9751";"8959";"9401";"9564";"9837";"9647"
"Gouvernorat de Sousse";"48715";"51169";"53364";"55784";"54349";"58111";"59803";"62518";"62993"
"Gouvernorat de Monastir";"34096";"35360";"37046";"38850";"37888";"40236";"41150";"42573";"42903"
"Gouvernorat de Mahdia";"21455";"22410";"23507";"24486";"22762";"24350";"25108";"26032";"26204"
"Gouvernorat de Sfax";"62899";"65492";"68535";"71903";"71152";"75994";"78241";"80722";"81964"
"Gouvernorat de Kairouan";"22950";"24068";"25203";"26309";"24034";"25488";"25973";"26722";"26234"
"Gouvernorat de Kasserine";"14104";"14573";"15306";"16049";"14978";"16133";"16293";"16956";"17133"
"Gouvernorat de Sidi Bouzid";"13358";"14512";"15394";"16294";"15531";"16607";"16924";"17733";"17609"
"Gouvernorat de Gabès";"16811";"17417";"18028";"18848";"18276";"19855";"20164";"20825";"20613"
"Gouvernorat de Medenine";"23991";"25265";"26844";"28441";"29997";"32957";"33422";"34948";"35409"
"Gouvernorat de Tataouine";"6306";"6771";"7217";"7582";"7329";"8090";"8324";"8838";"8785"
"Gouvernorat de Gafsa";"11420";"11887";"12516";"12895";"12308";"13200";"13492";"14029";"13829"
"Gouvernorat de Tozeur";"5671";"5810";"5979";"6157";"5725";"6106";"6215";"6445";"6231"
"Gouvernorat de Kébili";"7944";"8235";"8624";"8748";"8443";"9136";"9295";"9746";"9291"
