"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Evolution des entreprises privées par Forme Juridique";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Forme Juridique";"680241";"711442";"740054";"771032";"735043";"782115";"801453";"828821";"825707"
"Société Anonyme";"550988";"6180";"6210";"6275";"6119";"6248";"6309";"639560";"625400"
"Société à responsabilité limitée";"6077";"104579";"110850";"117455";"115392";"124418";"130527";"6397";"6438"
"Société unipersonnelle à responsabilité limitée";"97464";"24178";"26724";"29280";"30528";"34393";"37047";"137486";"144362"
"Personne Physique";"21612";"572273";"591796";"613297";"578505";"612235";"622578";"40091";"43917"
"Autres formes";"4100";"4232";"4474";"4725";"4499";"4821";"4992";"5287";"5590"
