"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Evolution des entreprises privées par Secteur d'activité";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Secteur d'activité";"680241";"711442";"740054";"771032";"735043";"782115";"801453";"828821";"825707"
"Agriculture, Sylviculture et Pêche";"3134";"3346";"3586";"4098";"4634";"5310";"5657";"6308";"6939"
"Industrie";"79250";"82295";"85077";"88173";"84283";"89190";"91542";"94018";"93258"
"Construction";"34771";"37393";"39812";"41880";"41038";"43077";"43802";"44659";"43785"
"Commerce, réparation d’automobiles et de motocycles";"285959";"299959";"311887";"324036";"343951";"364727";"328105";"340363";"336398"
"Transports et Entreposage";"103690";"105773";"107753";"110211";"103025";"107360";"109658";"111965";"108755"
"Hébergement et Restauration";"33503";"35761";"38031";"40778";"40481";"43832";"45132";"47331";"47478"
"Information et communication";"15492";"15661";"15796";"16077";"14623";"15684";"16497";"17396";"17912"
"Activités financières et d'assurances";"1825";"1901";"1940";"2012";"2023";"2200";"2280";"2379";"2463"
"Activités immobilières";"4207";"4465";"4715";"4988";"5003";"5332";"5486";"5820";"6069"
"Activités spécialisées, scientifiques et techniques";"41364";"43752";"46180";"48769";"48799";"52816";"55351";"57152";"59167"
"Activités de services administratifs et de soutien";"16453";"17525";"18662";"19999";"19670";"21861";"22679";"23890";"25064"
"Enseignement, Santé humaine et action sociale";"24275";"25983";"27811";"29670";"31119";"33996";"34853";"35311";"36831"
"Réparation d'ordinateurs et de biens personnels et domestiques";"6441";"6663";"6781";"7009";"6470";"6717";"6772";"6796";"6537"
"Autres services personnels";"22149";"22664";"23095";"23791";"21515";"22937";"23328";"24069";"23372"
"Autres activités";"7728";"8301";"8928";"9541";"9447";"10153";"10311";"11364";"11679"
