"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Evolution des entreprises privées par Taille";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Taille";"680241";"711442";"740054";"771032";"735043";"782115";"801453";"828821";"825707"
"0";"596316";"624027";"650526";"676140";"635571";"679770";"704137";"730291";"726940"
"[1-2]";"48259";"50694";"52180";"54517";"56692";"59311";"55385";"56813";"56631"
"[3-5]";"16854";"17465";"17933";"19692";"21205";"21192";"21165";"20846";"20957"
"[6-9]";"6800";"7117";"7244";"7768";"8084";"8301";"7770";"7854";"7983"
"[10-19]";"5107";"5266";"5277";"5692";"5994";"5944";"5762";"5832";"5813"
"[20-49]";"3488";"3515";"3594";"3775";"3962";"4007";"3850";"3819";"3913"
"[50-99]";"1620";"1603";"1590";"1646";"1652";"1676";"1650";"1633";"1643"
"[100-199]";"990";"951";"895";"950";"977";"958";"928";"922";"942"
">=200";"807";"804";"815";"852";"906";"956";"806";"811";"885"
