"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Evolution des entrées d'entreprises par Régime";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Régime";"680241";"711442";"740054";"771032";"735043";"782115";"801453";"828821";"825707"
"Onshore";"653183";"682958";"710434";"740134";"705982";"751055";"769207";"795498";"791390"
"OffShore";"27058";"28484";"29620";"30898";"29061";"31060";"32246";"33323";"34317"
