"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Evolution des entrées d'entreprises par Secteur d'activité";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Secteur d'activité";"52846";"55714";"59630";"57345";"56266";"71066";"40052";"56849";"56296"
"Agriculture, Sylviculture et Pêche";"294";"272";"362";"582";"875";"810";"450";"773";"833"
"Industrie";"5459";"5103";"5893";"5533";"5516";"7197";"4079";"5011";"5184"
"Construction";"3657";"3762";"3990";"3524";"3388";"3404";"1772";"2380";"2139"
"Commerce, réparation d’automobiles et de motocycles";"23469";"26162";"27361";"25718";"23854";"30291";"16142";"25893";"25675"
"Transports et Entreposage";"5866";"5865";"5760";"5541";"5616";"7111";"4971";"6463";"4357"
"Hébergement et Restauration";"3075";"3429";"3722";"3938";"3664";"4704";"2521";"3858";"3912"
"Information et communication";"975";"915";"1025";"1008";"1258";"1659";"1336";"1548";"1680"
"Activités financières et d'assurances";"94";"93";"92";"88";"86";"184";"95";"132";"114"
"Activités immobilières";"218";"226";"236";"211";"236";"295";"164";"308";"267"
"Activités spécialisées, scientifiques et techniques";"3481";"3242";"3702";"3599";"4059";"5223";"3663";"3376";"3749"
"Activités de services administratifs et de soutien";"1613";"1703";"1959";"2019";"2157";"2901";"1484";"2108";"2499"
"Enseignement, Santé humaine et action sociale";"2484";"2366";"2600";"2596";"2630";"3694";"1684";"1969";"2503"
"Réparation d'ordinateurs et de biens personnels et domestiques";"356";"403";"427";"435";"399";"429";"234";"282";"370"
"Autres services personnels";"1063";"1266";"1450";"1542";"1508";"2068";"947";"1614";"1881"
"Autres activités";"742";"907";"1051";"1011";"1020";"1096";"510";"1134";"1133"
