"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre en millier";"";"";"";"";"";"";"";"";""
"Source : Ministère de l'Intérieur et du Développement Local";"";"";"";"";"";"";"";"";""
"Evolution des entrées des voyageurs non résidents par voie de transport et post frontière";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Voie Aérienne";"1700";"1961";"2340";"3166";"3577";"587";"794";"2391";"3324"
"Voie Terrestre";"2422";"2490";"3317";"3665";"4310";"812";"751";"2670";"4755"
"Voie Maritime";"81";"75";"86";"90";"97";"33";"56";"109";"56"
