"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Evolution des sorties d'entreprises par Secteur d'activité";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Secteur d'activité";"27129";"24513";"31018";"26367";"92255";"23994";"20714";"29481";"59430"
"Agriculture, Sylviculture et Pêche";"79";"67";"127";"108";"362";"156";"122";"161";"230"
"Industrie";"2584";"2161";"3187";"2503";"9433";"2347";"1744";"2584";"6130"
"Construction";"1373";"1217";"1612";"1481";"4246";"1338";"1046";"1497";"2980"
"Commerce, réparation d’automobiles et de motocycles";"13306";"11987";"15243";"13274";"44848";"11283";"9618";"13450";"29307"
"Transports et Entreposage";"3707";"3674";"3732";"3052";"12724";"2792";"2679";"4109";"7513"
"Hébergement et Restauration";"1221";"1269";"1597";"1394";"4101";"1483";"1288";"1784";"3862"
"Information et communication";"844";"629";"780";"618";"2627";"541";"467";"589";"1077"
"Activités financières et d'assurances";"25";"18";"46";"17";"78";"19";"25";"42";"34"
"Activités immobilières";"113";"118";"112";"102";"332";"131";"121";"186";"223"
"Activités spécialisées, scientifiques et techniques";"1175";"835";"1269";"1006";"4011";"1193";"1087";"1530";"1734"
"Activités de services administratifs et de soutien";"672";"594";"788";"623";"2474";"685";"629";"861";"1303"
"Enseignement, Santé humaine et action sociale";"687";"677";"811";"769";"1198";"857";"856";"1150";"1005"
"Réparation d'ordinateurs et de biens personnels et domestiques";"211";"201";"304";"195";"923";"169";"161";"234";"637"
"Autres services personnels";"766";"730";"989";"820";"3757";"634";"533";"850";"2565"
"Autres activités";"366";"336";"421";"405";"1141";"366";"338";"454";"830"
