"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Ministère de l'Intérieur";"";"";"";"";"";"";"";"";""
"Evolution du nombre d'accidents par cause";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Total";"7227";"6972";"5884";"5972";"4774";"5082";"5715";"5796";"5774"
"Fautes de conducteurs";"5137";"5252";"4465";"--";"4095";"4391";"--";"5290";"--"
"Fautes de piétons";"1816";"1426";"1276";"--";"548";"577";"--";"444";"--"
"Défauts des moyens de transport";"179";"154";"88";"--";"48";"41";"--";"33";"--"
"Etat de la route";"1";"1";"--";"--";"--";"--";"--";"--";"--"
"Autres Causes";"94";"139";"55";"--";"83";"73";"--";"29";"--"
