"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Société Tunisienne d'Electricité et de Gaz";"";"";"";"";"";"";"";"";""
"Evolution du nombre des abonnées et de la longueur du réseau du Gaz naturel";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Haute pression";"26";"29";"28";"31";"31";"30";"34";"41";"42"
"Moyenne pression";"185";"177";"175";"170";"163";"160";"161";"157";"155"
"Basse pression";"772777";"817501";"852289";"887382";"925826";"955590";"989626";"1020853";"1045803"
