"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Banque Centrale de Tunisie";"";"";"";"";"";"";"";"";""
"Evolution du réseau bancaire";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2020";"2021"
"Tunisie";"1449";"1512";"1626";"1739";"1818";"1904";"1935";"1964";"1999"
"Gouvernorat de Tunis";"340";"346";"400";"415";"425";"443";"447";"465";"473"
"Gouvernorat de L'Ariana";"107";"116";"113";"130";"137";"149";"150";"138";"141"
"Gouvernorat de Ben Arous";"102";"107";"115";"129";"138";"146";"148";"152";"153"
"Gouvernorat de Manouba";"40";"42";"39";"41";"41";"42";"41";"41";"41"
"Gouvernorat de Nabeul";"112";"116";"129";"136";"142";"144";"146";"150";"150"
"Gouvernorat de Zaghouan";"19";"20";"18";"19";"19";"21";"21";"21";"22"
"Gouvernorat de Bizerte";"57";"59";"65";"72";"74";"78";"80";"80";"81"
"Gouvernorat de Bèja";"26";"26";"26";"28";"30";"33";"34";"35";"35"
"Gouvernorat de Jendouba";"28";"29";"29";"31";"32";"34";"36";"35";"37"
"Gouvernorat du Kef";"18";"19";"21";"22";"22";"22";"22";"21";"21"
"Gouvernorat de Siliana";"11";"11";"14";"15";"16";"17";"17";"17";"18"
"Gouvernorat de Sousse";"120";"125";"143";"153";"158";"164";"165";"171";"172"
"Gouvernorat de Monastir";"67";"75";"80";"87";"94";"99";"100";"97";"99"
"Gouvernorat de Mahdia";"36";"38";"35";"38";"41";"40";"40";"42";"42"
"Gouvernorat de Sfax";"150";"157";"169";"178";"189";"199";"203";"210";"219"
"Gouvernorat de Kairouan";"20";"20";"28";"30";"31";"32";"33";"34";"34"
"Gouvernorat de Kasserine";"16";"17";"18";"19";"21";"22";"23";"24";"25"
"Gouvernorat de Sidi Bouzid";"18";"19";"20";"21";"21";"21";"24";"25";"28"
"Gouvernorat de Gabès";"43";"44";"39";"42";"44";"46";"47";"47";"49"
"Gouvernorat de Medenine";"50";"53";"62";"64";"70";"75";"79";"78";"78"
"Gouvernorat de Tataouine";"12";"14";"14";"16";"16";"17";"17";"18";"18"
"Gouvernorat de Gafsa";"34";"34";"24";"25";"29";"32";"33";"33";"33"
"Gouvernorat de Tozeur";"14";"15";"14";"15";"15";"15";"15";"14";"14"
"Gouvernorat de Kébili";"9";"10";"11";"13";"13";"13";"14";"16";"16"
