"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Ministère des Technologies de l'Information et de la Communication";"";"";"";"";"";"";"";"";""
"Evolutions du nombre d'abonnés au réseau téléphonique fixe";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Tunisie Télécom";"961972";"881909";"856891";"853462";"901179";"989583";"1085546";"1183092";"1257966"
"Opérateur téléphonique Ooredoo";"126";"8215";"24692";"51984";"122898";"216474";"264887";"225426";"219654"
"Opérateur téléphonique Orange";"61447";"59538";"62059";"68683";"89091";"95893";"103750";"124755";"181473"
