"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Agence Technique des Transports Terrestres";"";"";"";"";"";"";"";"";""
"Immatriculations des vehicules par marque";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Par Marque";"63107";"71442";"74164";"62110";"58352";"57035";"70467";"63569";"64239"
"Citroën";"6731";"6240";"5627";"4518";"2751";"1727";"206";"753";"--"
"Fiat";"3603";"3665";"3866";"2812";"2712";"2739";"3810";"3324";"--"
"Isuzu";"3895";"6240";"7294";"7390";"5769";"5011";"3902";"5275";"--"
"Iveco";"1145";"1111";"1340";"870";"805";"560";"795";"895";"--"
"Mazda";"1776";"1601";"1489";"857";"239";"82";"108";"6";"--"
"Mitsubishi";"1258";"293";"293";"171";"111";"224";"503";"557";"--"
"Nissan";"576";"931";"964";"879";"532";"744";"530";"284";"--"
"Opel";"428";"404";"471";"11";"1";"--";"210";"665";"--"
"Peugeot";"5253";"4724";"4313";"3612";"3817";"4227";"4582";"4270";"--"
"Renault";"4238";"4315";"5038";"3975";"4008";"2979";"3877";"2085";"--"
"Toyota";"2966";"3345";"3093";"2975";"2531";"2928";"4961";"4929";"--"
"Volkswagen";"5436";"6049";"4685";"3390";"3388";"3019";"3377";"2618";"--"
"Volvo";"191";"304";"168";"168";"238";"35";"41";"81";"--"
"Autres marques";"25611";"32220";"35523";"30482";"31450";"32760";"43565";"37827";"--"
