"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Agence Technique des Transports Terrestres";"";"";"";"";"";"";"";"";""
"Immatriculations des véhicules par catégorie";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Par Catégorie";"63107";"71442";"74164";"62110";"58352";"57035";"70467";"63569";"64239"
"Voitures de Tourisme et commerciales";"38561";"41761";"45927";"35363";"36335";"37222";"49645";"41886";"42890"
"Camions et Camionnettes";"14238";"16355";"16270";"14052";"11831";"10894";"10555";"11473";"10704"
"Autocars";"413";"759";"555";"609";"675";"278";"358";"409";"584"
"TRAC - Tracteurs";"2589";"2489";"2023";"2529";"1929";"1677";"1873";"1876";"1846"
"R  Remorques et Semi-remorques";"1165";"1025";"2862";"3552";"2645";"2308";"2313";"2059";"1887"
"Autres";"6141";"9053";"6527";"6005";"4937";"4656";"5723";"5866";"6328"
