"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Pourcentage";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Indicateurs généraux d'infrastructures";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Taux de branchement en courant électrique (%)";"99.4";"99.4";"99.4";"99.5";"99.5";"99.5";"99.5";"99.7";"99.8"
"Taux de branchement en eau potable (%)";"84.4";"84.7";"85.0";"85.4";"85.7";"85.8";"85.8";"86.7";"87.1"
"Taux de desserte en eau potable (%)";"96.7";"97.3";"97.4";"97.6";"97.8";"97.9";"97.8";"98.0";"98.2"
"Taux de branchement des ménages au réseau d'assainissement ( milieu communal) (%)";"80.9";"81.6";"82.4";"83.6";"84.2";"84.7";"85.4";"85.9";"86.4"
