"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : (2010 = 100)";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Indice annuel de la Production Industrielle";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Industries manufacturieres";"102.0";"100.8";"101.5";"102.4";"103.1";"101.8";"92.1";"99.2";"105.3"
"Industries agro-alimentaires";"113.3";"119.3";"115.9";"117.7";"123.4";"123.7";"127.1";"122.3";"121.8"
"Materiaux de construction, ceramique et verre";"106.2";"105.6";"103.8";"98.4";"96.7";"97.3";"85.9";"97.8";"94.4"
"Industrie mecaniques et electrique.";"103.4";"102.9";"104.9";"108.4";"110.0";"107.7";"93.9";"104.3";"113.9"
"Industries chimiques";"79.6";"70.4";"78.4";"77.2";"71.0";"73.1";"66.9";"75.7";"78.3"
"Textile, habillements et cuirs";"98.6";"94.7";"94.3";"94.7";"95.8";"92.0";"76.5";"84.8";"99.2"
"Industries  manufacturieres  diverses";"110.3";"108.9";"108.7";"109.4";"109.0";"106.8";"93.6";"103.7";"108.2"
"Mines";"45.1";"42.5";"47.0";"56.4";"44.4";"48.6";"41.6";"48.7";"47.1"
"Minéraux pour l'industrie chimique et engrais naturels";"43.5";"39.8";"45.0";"54.3";"41.0";"45.8";"38.6";"45.7";"43.7"
"Sel";"56.9";"82.9";"71.8";"84.0";"98.6";"89.8";"87.3";"91.5";"96.5"
"Minerais de fer";"171.6";"159.5";"164.9";"164.3";"164.3";"165.5";"156.7";"178.5";"183.5"
"Energie";"89.2";"83.9";"80.0";"74.4";"72.4";"63.6";"70.1";"82.4";"77.2"
"Pétrole brut, gaz naturel et produits bitumineux";"72.7";"68.0";"62.1";"55.0";"53.4";"49.2";"47.9";"57.9";"51.8"
"Produits pétroliers raffinés et de la cokefaction";"207.0";"169.4";"178.3";"161.6";"143.3";"34.7";"163.8";"231.9";"228.8"
"Electricité et gaz";"119.0";"122.8";"122.6";"128.2";"129.2";"135.9";"132.5";"134.8";"130.8"
"Eau distribuée";"124.6";"127.7";"130.1";"133.0";"137.5";"140.6";"144.4";"147.7";"152.6"
"Indice ensemble";"96.8";"94.3";"93.7";"92.8";"92.4";"89.0";"84.2";"92.9";"95.4"
