"NoFilter";"";"";"";"";"";"";""
"Unité : (2015 = 100)";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";""
"Indice annuel des prix à la consommation familiale - IPC (2015=100)";"";"";"";"";"";"";""
"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";""
"";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Produits alimentaires et boissons non alcoolisées";"124.4";"130.2";"138.4";"153.5";"175.5";"192.1";"204.4"
"Boissons alcoolisées et tabac";"120.4";"144.0";"163.9";"185.6";"195.3";"206.3";"207.1"
"Articles d'habillement et chaussures";"134.1";"143.9";"154.7";"169.6";"185.7";"203.6";"222.7"
"Logement, eau, gaz, électricité et autres combustibles";"121.4";"127.1";"133.5";"141.6";"149.7";"155.9";"161.3"
"Meubles, articles de ménage et entretien courant du foyer";"128.9";"137.7";"143.7";"157.1";"172.8";"183.4";"192.9"
"Santé";"118.1";"127.6";"136.5";"142.0";"147.8";"160.3";"166.9"
"Transports";"128.5";"130.7";"134.8";"145.0";"157.9";"163.2";"168.4"
"Communications";"102.2";"103.4";"104.7";"107.0";"109.3";"111.8";"112.7"
"Loisirs et culture";"118.3";"122.6";"127.9";"136.5";"145.2";"153.9";"162.7"
"Enseignement";"132.4";"140.6";"150.3";"164.0";"175.3";"190.7";"201.5"
"Restaurants et hôtels";"133.3";"147.8";"158.9";"171.9";"189.8";"209.2";"229.8"
"Biens et services divers";"135.3";"146.4";"153.9";"165.7";"182.3";"195.1";"206.1"
"Ensemble";"125.0";"132.0";"139.6";"151.1";"165.2";"176.8";"186.3"
