"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : (2010 = 100)";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Indice de la Production Industrielle (IPI) - Base 100 en 2010";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"avril 2025";"mai 2025";"juin 2025";"juillet 2025";"août 2025";"septembre 2025";"octobre 2025";"novembre 2025";"décembre 2025"
"Industries manufacturieres";"102.7";"112.1";"105.7";"113.3";"101.1";"113.0";"117.1";"108.4";"114.3"
"Industries agro-alimentaires";"109.3";"117.1";"126.8";"145.5";"141.2";"118.8";"113.2";"115.6";"155.9"
"Materiaux de construction, ceramique et verre";"84.0";"98.6";"73.0";"85.1";"89.4";"90.4";"91.7";"85.8";"83.4"
"Industrie mecaniques et electrique.";"121.4";"129.4";"130.5";"130.7";"118.8";"131.7";"151.4";"142.1";"141.6"
"Industries chimiques";"90.5";"86.9";"70.7";"75.3";"60.4";"85.2";"86.2";"73.2";"57.5"
"Textile, habillements et cuirs";"83.7";"103.7";"86.9";"97.5";"65.2";"106.5";"98.9";"82.8";"86.1"
"Industries  manufacturieres  diverses";"107.8";"114.2";"108.3";"112.2";"113.6";"117.6";"123.3";"114.2";"118.9"
"Mines";"52.5";"56.7";"46.4";"56.7";"51.3";"54.2";"55.4";"53.9";"52.7"
"Minéraux pour l'industrie chimique et engrais naturels";"50.3";"54.6";"43.8";"54.1";"49.6";"50.7";"51.2";"50.1";"48.6"
"Sel";"82.2";"76.3";"63.5";"70.3";"72.0";"111.6";"125.6";"121.6";"126.7"
"Minerais de fer";"160.9";"210.6";"272.2";"298.9";"143.7";"163.7";"185.1";"149.6";"146.4"
"Energie";"49.6";"56.9";"65.5";"71.3";"70.6";"61.4";"58.0";"54.4";"59.6"
"Pétrole brut, gaz naturel et produits bitumineux";"37.3";"33.2";"36.1";"35.0";"37.6";"31.9";"32.8";"31.3";"35.8"
"Produits pétroliers raffinés et de la cokefaction";"16.7";"162.1";"173.8";"175.7";"165.5";"164.3";"173.1";"154.3";"160.7"
"Electricité et gaz";"104.2";"113.1";"154.0";"200.5";"183.6";"152.4";"119.5";"112.5";"123.0"
"Eau distribuée";"149.6";"158.4";"166.7";"175.2";"180.5";"165.4";"157.2";"148.5";"146.1"
"Indice ensemble";"85.4";"94.1";"92.1";"99.3";"90.7";"96.0";"97.7";"90.8";"96.3"
