"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : (2015 = 100)";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Indice mensuel des prix à la consommation familiale - IPC (2015=100)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"octobre 2025";"novembre 2025";"décembre 2025";"janvier 2026";"février 2026";"mars 2026";"avril 2026";"mai 2026";"juin 2026"
"Produits alimentaires et boissons non alcoolisées";"209.3";"208.7";"208.3";"209.1";"211.9";"216.2";"219.2";"220.0";"217.9"
"Boissons alcoolisées et tabac";"207.4";"207.4";"207.3";"207.5";"207.4";"207.4";"207.9";"208.7";"209.2"
"Articles d'habillement et chaussures";"231.2";"232.1";"236.1";"236.9";"226.1";"229.5";"243.0";"244.0";"248.1"
"Logement, eau, gaz, électricité et autres combustibles";"163.2";"163.5";"163.9";"164.5";"165.0";"165.6";"166.1";"166.9";"167.8"
"Meubles, articles de ménage et entretien courant du foyer";"195.8";"196.3";"196.8";"197.5";"198.0";"198.9";"199.4";"200.1";"201.6"
"Santé";"168.7";"169.0";"169.2";"169.6";"169.8";"170.1";"170.3";"170.6";"171.0"
"Transports";"169.5";"169.6";"170.3";"170.5";"170.3";"171.5";"171.4";"171.9";"172.2"
"Communications";"112.9";"112.9";"112.9";"113.1";"113.1";"113.1";"113.1";"113.1";"113.1"
"Loisirs et culture";"165.4";"165.8";"166.0";"166.5";"167.0";"167.3";"167.5";"168.0";"169.1"
"Enseignement";"208.1";"208.3";"208.3";"208.4";"208.5";"208.8";"208.8";"208.9";"209.0"
"Restaurants et hôtels";"234.1";"234.3";"235.7";"235.8";"236.3";"237.7";"239.9";"241.3";"243.8"
"Biens et services divers";"210.2";"210.9";"211.4";"211.8";"212.1";"212.9";"214.4";"215.1";"216.7"
"Ensemble";"189.7";"189.8";"190.3";"190.8";"190.9";"192.7";"194.8";"195.5";"195.8"
