"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : (2010 = 100)";"";"";"";"";"";"";"";"";""
"Source : Institut National  de la Statistique";"";"";"";"";"";"";"";"";""
"Indices annuels des prix à la vente industriel (IPVI) par branche (2010 = 100)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"INDUSTRIE MANUFACTURIERE";"121.0";"126.1";"137.4";"145.0";"148.5";"165.5";"183.6";"187.7";"196.6"
"INDUSTRIES AGRO-ALIMENTAIRES";"126.3";"134.8";"144.3";"150.2";"152.0";"159.0";"170.3";"188.7";"197.6"
"MATERIAUX DE CONSTRUCTION, CERAMIQUE ET VERRE";"140.1";"143.7";"153.9";"164.5";"171.7";"182.9";"193.5";"198.7";"202.6"
"INDUSTRIES MECANIQUES ET ELECTRIQUES";"112.4";"120.1";"131.1";"138.2";"146.7";"166.5";"183.8";"193.6";"210.4"
"CHIMIE";"130.2";"129.0";"148.4";"159.0";"146.8";"188.8";"232.1";"197.2";"199.4"
"TEXTILE";"115.5";"118.8";"125.0";"128.9";"138.3";"145.0";"151.5";"165.4";"171.8"
"INDUSTRIES DIVERS";"117.5";"121.7";"133.3";"147.8";"155.3";"163.5";"181.3";"183.1";"184.9"
"MINES";"151.1";"150.1";"149.6";"180.5";"176.8";"180.8";"235.9";"207.3";"181.1"
"ENERGIE";"132.9";"142.8";"147.9";"158.4";"161.3";"160.0";"177.4";"193.2";"198.8"
"Indice d'ensemble";"123.1";"128.8";"139.0";"147.3";"150.7";"164.6";"183.1";"188.5";"196.4"
