"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : (2010 = 100)";"";"";"";"";"";"";"";"";""
"Source : Institut National  de la Statistique";"";"";"";"";"";"";"";"";""
"Indices mensuels des prix à la vente industriel (IPVI) par branche (2010 = 100)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"avril 2025";"mai 2025";"juin 2025";"juillet 2025";"août 2025";"septembre 2025";"octobre 2025";"novembre 2025";"décembre 2025"
"INDUSTRIE MANUFACTURIERE";"204.0";"204.5";"204.2";"206.4";"207.1";"208.1";"209.6";"209.8";"209.7"
"INDUSTRIES AGRO-ALIMENTAIRES";"194.4";"194.7";"194.1";"194.8";"196.0";"196.9";"197.1";"197.3";"197.1"
"MATERIAUX DE CONSTRUCTION, CERAMIQUE ET VERRE";"208.5";"209.1";"209.5";"209.5";"209.8";"210.7";"212.6";"214.8";"215.5"
"INDUSTRIES MECANIQUES ET ELECTRIQUES";"223.2";"223.7";"224.1";"224.7";"225.6";"225.9";"226.4";"227.9";"228.4"
"CHIMIE";"214.8";"216.0";"213.8";"224.2";"224.4";"227.3";"234.3";"230.4";"228.8"
"TEXTILE";"177.6";"177.9";"178.0";"178.5";"179.6";"179.9";"180.1";"180.9";"181.2"
"INDUSTRIES DIVERS";"188.5";"188.7";"188.8";"189.1";"189.2";"189.8";"190.1";"190.7";"190.8"
"MINES";"190.8";"190.0";"185.8";"183.9";"187.6";"187.4";"199.0";"200.7";"199.9"
"ENERGIE";"197.1";"195.6";"193.6";"191.0";"190.8";"190.4";"187.1";"186.1";"185.9"
"Indice d'ensemble";"202.3";"202.5";"201.9";"203.3";"204.0";"204.7";"205.6";"205.6";"205.5"
