"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : (2015 = 100)";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Inflation (glissement Annuel)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"octobre 2025";"novembre 2025";"décembre 2025";"janvier 2026";"février 2026";"mars 2026";"avril 2026";"mai 2026";"juin 2026"
"Produits alimentaires et boissons non alcoolisées";"5.6";"5.8";"6.1";"5.9";"6.7";"6.8";"8.2";"8.2";"7.1"
"Boissons alcoolisées et tabac";"0.3";"0.4";"0.3";"0.3";"0.3";"0.2";"0.5";"0.9";"1.0"
"Articles d'habillement et chaussures";"9.1";"9.1";"9.1";"10.0";"8.9";"7.5";"9.3";"9.1";"9.1"
"Logement, eau, gaz, électricité et autres combustibles";"3.4";"3.5";"3.5";"3.5";"3.9";"4.0";"4.1";"4.2";"4.3"
"Meubles, articles de ménage et entretien courant du foyer";"4.9";"4.8";"4.8";"4.9";"4.7";"4.8";"4.5";"4.5";"4.5"
"Santé";"3.7";"3.8";"3.7";"3.0";"2.9";"2.9";"2.9";"2.8";"2.9"
"Transports";"3.0";"2.9";"2.8";"2.6";"2.1";"2.8";"2.2";"2.3";"2.4"
"Communications";"0.7";"0.7";"0.6";"0.6";"0.6";"0.5";"0.4";"0.4";"0.4"
"Loisirs et culture";"4.5";"4.4";"4.3";"4.5";"4.4";"4.4";"4.4";"4.3";"4.4"
"Enseignement";"5.5";"5.5";"5.5";"5.5";"5.4";"5.5";"5.5";"5.5";"5.5"
"Restaurants et hôtels";"7.5";"6.2";"6.0";"5.5";"5.6";"6.2";"6.2";"6.3";"6.3"
"Biens et services divers";"5.9";"5.8";"5.8";"5.6";"5.5";"5.4";"5.4";"5.2";"5.2"
"Ensemble";"4.9";"4.9";"4.9";"4.8";"5.0";"5.0";"5.5";"5.5";"5.3"
