"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Million de Dinars";"";"";"";"";"";"";"";"";""
"Source : Banque Centrale de Tunisie";"";"";"";"";"";"";"";"";""
"Les ressources du système monétaire et leurs contreparties";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Monnaie M1";"20923.2";"22596.2";"24530.6";"26500.4";"30940.9";"32034.4";"35304.0";"41031.9";"44553.8"
"Quasi-monnaie";"26971.9";"29226.9";"30050.0";"32491.6";"34919.7";"38114.3";"43289.7";"45782.3";"49876.8"
"M3 – M2";"2156.8";"2095.4";"2194.1";"2290.5";"2333.9";"2220.8";"2302.0";"2322.4";"2945.0"
"M4 – M3";"43.6";"541.3";"447.5";"463.8";"335.8";"269.3";"155.3";"78.1";"1424.6"
"Ressources spéciales";"2122.2";"2048.9";"3783.5";"3307.5";"4124.4";"4359.5";"3990.1";"5337.2";"5257.3"
"Fonds propres";"10549.6";"12509.5";"14126.9";"15434.5";"17048.7";"17965.1";"19459.9";"22703.9";"23859.5"
"Autres postes nets";"2160.7";"603.9";"-120.7";"204.2";"108.1";"644.2";"3776.7";"2200.1";"9391.7"
"Créances nettes sur l’extérieur";"4037.9";"2296.1";"1801.6";"-854.4";"-2309.0";"-3980.5";"285.8";"1439.7";"7018.8"
"Créances nettes sur l’Etat";"6727.4";"8124.3";"10366.8";"12614.1";"14795.2";"14920.2";"17378.8";"20807.9";"28290.8"
"Concours à l’économie";"54162.7";"59201.7";"62843.5";"68932.8";"77325.3";"84667.9";"90613.1";"97208.3";"101999.1"
