"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Ministère des Technologies de l'Information et de la Communication";"";"";"";"";"";"";"";"";""
"Les réseaux de transmissions de données";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Les lignes spécialisées LS";"3974";"3657";"3515";"2715";"2103";"1969";"1813";"1636";"1473"
"Les lignes RNIS";"3080";"3225";"3592";"3234";"3046";"2643";"--";"--";"--"
"Les lignes ADSL";"367538";"478457";"541635";"512385";"518760";"481351";"465964";"501251";"515626"
"Les lignes Frame Relay";"7390";"7234";"6959";"5550";"5047";"4453";"4072";"2649";"2226"
