"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Ministère des Technologies de l'Information et de la Communication";"";"";"";"";"";"";"";"";""
"Les réseaux téléphoniques et densité";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Nombre d'abonnés au réseau de téléphone fixe (en milliers )";"1024";"950";"944";"974";"1113";"1302";"1454";"1533";"1659"
"Nombre d'abonnés aux réseaux de téléphonie mobile GSM";"12712";"14284";"14596";"14282";"14334";"14772";"14771";"14853";"15645"
"Densité téléphonique (fixe et mobile) : Ligne pour les 100 Habitants";"126";"138";"138";"134";"134";"139";"138";"139";"147"
