"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Ministère de l'Intérieur";"";"";"";"";"";"";"";"";""
"Evolution du nombre d'accident, du blessés et des tués";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Evolution du nombre d'accidents par gouvernorat et par mois";"7227";"6972";"5884";"5972";"4774";"5082";"5715";"5796";"5774"
"Evolution du nombre des blessés par gouvernorat et par mois";"11035";"10415";"8876";"8574";"6762";"6883";"8184";"7910";"7879"
"Evolution du nombre des tues par gouvernorat et par mois";"1443";"1369";"1205";"1150";"931";"1014";"1057";"1215";"1171"
