"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Ministère de l'Intérieur";"";"";"";"";"";"";"";"";""
"Evolution du nombre d'accidents par milieu";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Milieu Urbain";"4771";"4576";"3883";"4294";"3192";"3529";"4110";"4084";"4161"
"Milieu Rural";"2456";"2396";"2001";"1678";"1582";"1553";"1605";"1712";"1613"
"Total";"7227";"6972";"5884";"5972";"4774";"5082";"5715";"5796";"5774"
