"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Tonne";"";"";"";"";"";"";"";"";""
"Source : Office de la Marine Marchande et des Ports (O.M.M.P)";"";"";"";"";"";"";"";"";""
"Marchandises embarquées dans les ports maritimes";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Marchandises embarquées";"6451";"6574";"6297";"5785";"6011";"6574";"8400";"7306";"7148"
"Huiles et corps gras";"36";"36";"17";"68";"12";"8";"32";"21";"49"
"Clinker";"--";"2";"--";"--";"--";"206";"1561";"589";"192"
"Ciment";"30";"32";"15";"25";"32";"65";"40";"226";"442"
"Acides phosphoriques";"186";"80";"99";"23";"126";"55";"71";"51";"41"
"Super et D.C.P.";"57";"46";"47";"34";"90";"34";"24";"62";"46"
"D. A. P";"543";"593";"488";"199";"506";"488";"228";"316";"385"
"Ammonitrate";"4";"7";"2";"--";"--";"2";"2";"2";"--"
"Phosphate de Chaux";"138";"49";"112";"24";"30";"7";"23";"28";"28"
"Minerais métalliques";"7";"9";"10";"5";"--";"--";"--";"--";"--"
"Sel";"1049";"953";"867";"1062";"916";"1121";"1899";"1638";"1160"
"Produits pétroliers";"1061";"1048";"1006";"800";"722";"552";"590";"155";"568"
"Grignons d'olives";"90";"166";"122";"180";"50";"29";"106";"159";"222"
"Marbre";"80";"67";"62";"46";"48";"30";"55";"25";"25"
"Phosphate triple";"485";"531";"592";"377";"431";"405";"344";"300";"166"
"Autres marchandises";"2685";"2955";"2858";"2942";"3047";"3572";"3425";"3734";"3824"
