"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Office de l’Aviation Civile et des Aéroports (O.A.C.A)";"";"";"";"";"";"";"";"";""
"Mouvement général des aéroports ( trafic commercial )";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Nombre de vols (le vol)";"74219";"74303";"80325";"90049";"92837";"33452";"43068";"75650";"91228"
"Passagers";"7400";"8039";"9034";"10975";"11819";"2970";"3977";"8776";"11183"
"Fret";"24706";"29685";"34437";"33870";"28102";"25068";"26073";"21609";"19541"
"Poste";"1659";"1683";"696";"354";"395";"177";"369";"1593";"1416"
