"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Office de l’Aviation Civile et des Aéroports (O.A.C.A)";"";"";"";"";"";"";"";"";""
"Répartition du trafic commercial des passagers";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Intérieur";"586";"483";"470";"444";"399";"178";"259";"373";"362"
"Pays d'afrique";"1043";"1469";"1674";"1888";"1876";"452";"553";"1432";"1738"
"Moyen - Orient";"550";"559";"651";"717";"743";"206";"243";"550";"711"
"Pays d'Europe";"--";"--";"--";"--";"--";"--";"--";"--";"--"
"Pays d'asie";"--";"--";"--";"--";"--";"--";"--";"--";"--"
"Diverses relations";"0";"20";"37";"50";"51";"21";"21";"89";"58"
