"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Tonne";"";"";"";"";"";"";"";"";""
"Source : Office de l’Aviation Civile et des Aéroports (O.A.C.A)";"";"";"";"";"";"";"";"";""
"Répartition du trafic commercial postal par relations";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2005";"2007";"2008";"2013";"2015";"2018";"2019";"2020";"2021"
"Intérieur";"--";"--";"--";"--";"--";"--";"--";"--";"--"
"Pays d'afrique";"222";"101";"146";"72";"83";"42";"25";"19";"35"
"Moyen - Orient";"75";"67";"70";"145";"173";"190";"254";"139";"246"
"Pays d'Europe";"1007";"844";"991";"1824";"1403";"122";"115";"18";"86"
"Pays d'asie";"--";"--";"--";"--";"--";"--";"--";"--";"--"
"Diverses relations";"--";"--";"--";"--";"--";"--";"--";"--";"--"
