"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Société Nationale des Chemins de Fer Tunisiens (S.N.C.F.T.)";"";"";"";"";"";"";"";"";""
"Trafic des voyageurs dans le réseau ferroviaire ( ensemble du réseau)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Nombre de voyageurs";"37625";"37338";"40954";"40998";"39986";"37595";"25138";"27631";"30741"
"Voyageurs Kilomètres";"1298";"1246";"1235";"1164";"1109";"1022";"581";"633";"754"
"Recettes";"48652";"51880";"50957";"49219";"48963";"46646";"26095";"28752";"33015"
