"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Société Nationale des Chemins de Fer Tunisiens (S.N.C.F.T.)";"";"";"";"";"";"";"";"";""
"Trafic du Transport ferroviaire en unité";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Voyageurs transportés";"37624";"37338";"40954";"40929";"39986";"37595";"25138";"27631";"30741"
"Voyageurs Kilomètres";"1298";"1246";"1235";"1164";"1109";"1022";"581";"633";"754"
"Wagons chargés";"116";"89";"96";"94";"75";"69";"49";"55";"54"
"Tonnage expédié";"4796";"3687";"3856";"3848";"3103";"3215";"2064";"2492";"2396"
"Tonnes Kilomètres";"873";"664";"667";"679";"535";"547";"335";"415";"407"
"Parcours de trains";"9298";"9058";"8824";"8307";"8414";"8292";"5418";"5706";"6152"
"Parcours moyen d'une tonne";"182";"180";"173";"176";"172";"170";"162";"167";"170"
