"NoFilter";"";"";"";"";"";"";"";"";""
"Unité :";"";"";"";"";"";"";"";"";""
"Source : Société Nationale des Chemins de Fer Tunisiens (S.N.C.F.T.)";"";"";"";"";"";"";"";"";""
"Transport ferroviaire en unité (Ensemble du réseau)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Ensemble du réseau";"2165";"2165";"2165";"2165";"2170";"2170";"2170";"2170";"2170"
"Longueurs de lignes  exploitées par Km";"1991";"1991";"1991";"1991";"1797";"1797";"1797";"1797";"1797"
"Longueurs de lignes non exploitées par Km";"174";"174";"174";"174";"373";"373";"373";"373";"373"
