"NoFilter";"";"";"";"";"";"";"";"";""
"Unité :";"";"";"";"";"";"";"";"";""
"Source : Office de la Marine Marchande et des Ports (O.M.M.P)";"";"";"";"";"";"";"";"";""
"Marchandises débarquées dans les ports maritimes";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Marchandises débarquées";"15471";"15974";"16502";"16940";"17099";"16531";"16587";"15261";"15815"
"Céréales";"2675";"3665";"3688";"4069";"4541";"4222";"4251";"4163";"4069"
"Bois et ouvrages en bois";"394";"310";"377";"349";"336";"334";"344";"264";"200"
"Huiles et corps gras";"297";"244";"203";"258";"210";"290";"205";"396";"375"
"Sucre";"357";"335";"400";"540";"361";"477";"420";"836";"901"
"Produits sidérurgiques";"703";"814";"957";"994";"831";"978";"1135";"182";"137"
"Ammoniac";"227";"227";"215";"163";"187";"243";"159";"667";"681"
"Soufre(solide et liquide)";"1072";"1158";"1009";"596";"1023";"948";"779";"63";"62"
"Pâte à papier et papier";"73";"52";"47";"62";"72";"72";"74";"303";"295"
"Minerais métalliques";"8";"19";"16";"24";"16";"18";"25";"16";"9"
"Combustibles solides";"564";"546";"800";"741";"815";"739";"641";"698";"637"
"Produits pétroliers";"3670";"3500";"3658";"3970";"3610";"3417";"3679";"2594";"3250"
"Tourteaux de Soja";"537";"115";"166";"299";"85";"52";"21";"9";"44"
"Marbre";"121";"97";"156";"164";"88";"59";"83";"84";"70"
"Granule de marbre";"183";"251";"183";"136";"207";"200";"189";"157";"133"
"Autres marchandises";"4590";"4641";"4627";"4575";"4717";"4482";"4582";"4829";"4952"
