"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Dinars";"";"";"";"";"";"";"";"";""
"Source : Banque Centrale de Tunisie";"";"";"";"";"";"";"";"";""
"Moyennes des cours du marché interbancaire (Mensuel)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"avril 2019";"mai 2019";"juin 2019";"juillet 2019";"août 2019";"septembre 2019";"octobre 2019";"novembre 2019";"décembre 2019"
"Dollar Etats Unies";"2.9980";"2.9800";"2.8740";"2.8760";"2.8720";"2.8680";"2.8260";"2.8620";"2.7990"
"Euro";"3.3520";"3.3280";"3.2730";"3.2090";"3.1700";"3.1320";"3.1540";"3.1490";"3.1400"
"Yen Japonais en 1000 unités";"26.8310";"27.4180";"26.6880";"26.5070";"26.9770";"26.5810";"26.1510";"26.1170";"25.7710"
"Livre sterling";"3.8930";"3.7540";"3.6560";"3.5030";"3.4930";"3.5380";"3.6580";"3.6890";"3.6920"
"10 Dirahams marocains";"3.0920";"3.0680";"3.0040";"2.9960";"2.9790";"2.9500";"2.9410";"2.9640";"2.9130"
