"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Office de la Marine Marchande et des Ports (O.M.M.P)";"";"";"";"";"";"";"";"";""
"Nombre de passagers voyageant à travers le mouvement des ports maritimes";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Passagers";"719316";"661337";"723832";"728718";"721987";"741093";"717790";"732793";"319231"
"Nombre d'entrées";"397432";"362227";"394110";"388807";"382093";"394496";"376336";"394193";"163514"
"Nombre de sorties";"321884";"299110";"329722";"339911";"339894";"346597";"341454";"338600";"155717"
