"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Nombre de salariés formels par Nationalité de l'entreprise";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Nationalité de l'entreprise";"998976";"996988";"1001933";"1060709";"1113831";"1144215";"1076129";"1087300";"1135142"
"Tunisienne";"806432";"801948";"808992";"854669";"897499";"920934";"859714";"860755";"891834"
"Etrangère";"192544";"195040";"192941";"206039";"216332";"223281";"216415";"226545";"243308"
