"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Nombre de salariés formels par Régime de l'entreprise";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Régime de l'entreprise";"998976";"996988";"1001933";"1060709";"1113831";"1144215";"1076129";"1087300";"1135142"
"Onshore";"659468";"655894";"661696";"701178";"734911";"747023";"686286";"682727";"705994"
"OffShore";"339508";"341094";"340238";"359531";"378920";"397192";"389843";"404572";"429148"
