"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Nombre de salariés formels par Secteur d'activité de l'entreprise";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Secteur d'activité de l'entreprise";"998976";"996988";"1001933";"1060709";"1113831";"1144215";"1076129";"1087300";"1135142"
"Agriculture, Sylviculture et Pêche";"23477";"22928";"22162";"24129";"25114";"25597";"22174";"23393";"23917"
"Industrie";"497060";"496144";"490037";"513941";"529700";"540448";"529502";"539462";"562721"
"Construction";"65208";"62970";"63460";"64895";"62241";"56649";"48267";"46207";"44766"
"Commerce, réparation d’automobiles et de motocycles";"128231";"131323";"134238";"142215";"148279";"150508";"146545";"147312";"148614"
"Transports et Entreposage";"28781";"29082";"29640";"30676";"31655";"31811";"30275";"30441";"30444"
"Hébergement et Restauration";"67091";"59248";"57730";"62312";"69156";"71368";"51422";"47637";"58765"
"Information et communication";"19437";"21031";"22407";"24451";"28284";"31264";"30707";"33775";"35743"
"Activités financières et d'assurances";"20375";"21111";"23237";"24408";"25228";"25789";"24359";"24798";"25208"
"Activités immobilières";"3019";"2939";"3793";"4094";"4352";"3523";"2775";"2525";"2991"
"Activités spécialisées, scientifiques et techniques";"31530";"29946";"31012";"33160";"36708";"40101";"35258";"35231";"38428"
"Activités de services administratifs et de soutien";"74678";"77863";"79839";"85319";"92842";"101742";"92955";"95385";"99889"
"Enseignement, Santé humaine et action sociale";"28975";"31467";"33753";"39498";"47323";"52229";"49358";"49498";"51383"
"Réparation d'ordinateurs et de biens personnels et domestiques";"1051";"1043";"1108";"1187";"1235";"925";"919";"830";"845"
"Autres services personnels";"3934";"3637";"3242";"3201";"3474";"3562";"3026";"2429";"2469"
"Autres activités";"6131";"6258";"6276";"7223";"8242";"8697";"8585";"8378";"8959"
