"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Nombre de salariés formels par Taille de l'entreprise";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Taille de l'entreprise";"998976";"996988";"1001933";"1060709";"1113831";"1144215";"1076129";"1087300";"1135142"
"[1-2]";"51735";"53667";"55274";"61263";"64196";"65015";"70297";"71700";"71691"
"[3-5]";"57796";"59832";"61607";"68094";"73019";"72761";"73383";"72030";"72497"
"[6-9]";"46491";"48717";"49520";"53166";"55106";"56549";"53151";"53818";"54627"
"[10-19]";"66501";"68644";"68978";"74623";"78098";"77489";"75108";"76056";"75804"
"[20-49]";"105452";"106487";"109626";"113884";"119100";"120818";"116592";"115396";"117754"
"[50-99]";"111812";"110552";"110465";"113581";"112524";"115559";"113774";"112574";"113267"
"[100-199]";"136982";"132283";"124837";"131507";"136714";"133521";"129247";"127786";"130716"
">=200";"422207";"416807";"421626";"444591";"475074";"502503";"444576";"457941";"498786"
