"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Répertoire National d’Entreprises";"";"";"";"";"";"";"";"";""
"Nombre de salariés formels par la Forme Juridique de l'entreprise";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Forme Juridique de l'entreprise";"998976";"996988";"1001933";"1060709";"1113831";"1144215";"1076129";"1087300";"1135142"
"Société Anonyme";"104027";"102022";"101460";"111281";"116263";"114994";"109920";"105042";"103325"
"Société à responsabilité limitée";"292451";"286554";"288546";"296458";"307771";"315458";"285969";"287412";"301734"
"Société unipersonnelle à responsabilité limitée";"552434";"556998";"561005";"598711";"631335";"652275";"616375";"623000";"653474"
"Personne Physique";"23628";"24891";"26442";"30293";"34253";"37088";"40168";"47831";"52423"
"Autres formes";"26437";"26524";"24482";"23966";"24209";"24400";"23697";"24016";"24186"
