"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Office National du Tourisme Tunisien  (O.N.T.T)";"";"";"";"";"";"";"";"";""
"Nuitées touristiques globales par nationalité";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Européens";"8366";"9619";"11499";"16822";"19260";"1806";"2525";"9689";"14762"
"Maghrébins";"2103";"2438";"3316";"3388";"3730";"680";"506";"2149";"2885"
"Nord-américains";"75";"65";"98";"122";"144";"44";"65";"126";"172"
"Autres";"490";"536";"693";"756";"997";"210";"265";"622";"868"
"Tunisiens résidents à l'étranger";"136";"114";"122";"125";"173";"79";"104";"144";"113"
