"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Millions de Dinars";"";"";"";"";"";"";"";"";""
"Source : Banque Centrale de Tunisie";"";"";"";"";"";"";"";"";""
"Paiements extérieur de la Tunisie: Recettes et Dépenses";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Recettes courantes";"41733.1";"39228.9";"41199.1";"48431.6";"57767.1";"63727.0";"52754.9";"65314.4";"83453.3"
"Opérations en capital  & financières";"11041.7";"11080.1";"10422.4";"16419.4";"18004.1";"22163.7";"16472.5";"16812.6";"19109.2"
"Opérations d'ajustement (flux nets)";"225.0";"203.3";"380.0";"690.8";"1528.1";"1301.5";"1401.1";"1369.4";"--"
"Total Général des Recettes";"52999.8";"50512.3";"52001.5";"65541.8";"77299.3";"87192.2";"70628.5";"83496.4";"102562.5"
"Dépenses courantes";"49036.0";"46780.6";"49134.5";"58302.2";"69489.3";"73363.9";"59871.0";"73085.7";"95819.0"
"Opérations en capital et financières";"2369.2";"2948.6";"4010.4";"7241.8";"6157.0";"8600.8";"6950.4";"10067.2";"7284.6"
"Total Général des Dépenses";"51405.2";"49729.2";"53144.9";"65544.0";"75646.3";"81964.7";"66821.4";"83152.9";"103103.6"
"Solde";"1594.6";"783.1";"-1143.4";"-2.2";"1653.0";"5227.5";"3807.1";"343.5";"-5411.0"
