"NoFilter";"";"";"";"";"";"";"";"";""
"Unité :";"";"";"";"";"";"";"";"";""
"Source : Bourse des Valeurs Mobilieres de Tunis";"";"";"";"";"";"";"";"";""
"Principaux indicateurs boursiers";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Indice Tunindex (Base 1000 le 31/12/97)";"4381.30";"5090.00";"5042.16";"5488.77";"6281.83";"7271.65";"7122.09";"6884.90";"7046.01"
"Nombre de sociétes cotées";"71.00";"77.00";"78.00";"79.00";"81.00";"82.00";"81.00";"--";"--"
"Capitalisations boursières";"14092.80";"17324.00";"17830.00";"19300.00";"21852.00";"24398.00";"23724.00";"23092.20";"23262.30"
"Capitaux traités (Actions et droits)";"224.10";"242.50";"162.80";"229.20";"990.30";"299.90";"197.00";"334.50";"155.10"
"Titres traités";"26926.00";"30059.00";"20939.00";"24618.00";"77940.00";"29880.00";"16385.00";"46627.00";"13863.00"
