"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : 1000T";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Production d'Engrais";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2009";"2010";"2011";"2014";"2015";"2016";"2017";"2012";"2013"
"Acide phosphorique à 28%";"1217.2";"1349.8";"571.8";"689.6";"521.9";"808.6";"754.0";"--";"--"
"Acide phosphorique à 54%";"1115.2";"1209.6";"517.7";"618.7";"475.5";"599.1";"600.2";"777.0";"750.1"
"Hyper phosphate";"11.7";"23.5";"17.2";"7.6";"5.8";"11.4";"11.6";"14.4";"16.1"
"Superphosphate à45% (T.S.P)";"728.4";"762.7";"400.8";"482.5";"261.8";"385.0";"301.3";"494.3";"517.7"
"Phosphate bicalcique (D.C.P)";"64.3";"76.4";"54.6";"55.2";"67.3";"63.2";"29.1";"57.4";"46.2"
"Diammonium phosphate (D.A.P)";"1123.9";"1276.7";"420.0";"584.0";"369.5";"569.8";"586.4";"666.0";"823.4"
"Ammonitrate";"156.6";"175.9";"91.9";"185.4";"154.9";"177.9";"183.5";"182.8";"140.4"
"Agricole";"141.3";"155.1";"83.9";"162.4";"149.3";"166.3";"170.5";"171.8";"131.6"
"Poreux";"15.3";"20.8";"8.0";"13.0";"5.6";"11.6";"12.9";"11.0";"17.1"
"Autres engrais composés";"25.1";"53.3";"45.8";"22.4";"6.6";"12.6";"9.5";"32.6";"11.9"
