"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Million KWH";"";"";"";"";"";"";"";"";""
"Source : Société Tunisienne d'Electricité et de Gaz";"";"";"";"";"";"";"";"";""
"Production d'éléctricité par centrale";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Thermique vapeur";"4450";"3660";"2348";"2770";"2819";"2183";"1681";"748";"623"
"Cycle combiné";"7031";"8396";"9726";"9664";"10260";"9513";"10288";"14352";"14924"
"Turbine à gaz";"2852";"2231";"2890";"2812";"3362";"3956";"4350";"3179";"3161"
"Hydraulique";"69";"45";"17";"17";"66";"46";"28";"15";"9"
"Eolienne";"448";"474";"449";"453";"500";"465";"425";"322";"338"
