"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Tonne";"";"";"";"";"";"";"";"";""
"Source : La Régie Nationale des Tabacs et des Allumettes (RNTA)";"";"";"";"";"";"";"";"";""
"Production et consommation du Tabac";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Tabac à fumer";"409.0";"424.0";"374.0";"372.0";"298.0";"272.0";"221.0";"207.0";"150.0"
"Poudre à priser";"317.0";"261.0";"281.0";"281.0";"255.0";"258.0";"238.0";"306.0";"202.0"
"Production totale du tabac";"726.0";"685.0";"655.0";"653.0";"553.0";"530.4";"459.0";"513.0";"352.0"
