"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : 1000T";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Production de la Sidérurgie, Métallurgie et Fonderie";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Billettes";"99.5";"115.1";"119.2";"110.8";"109.6";"100.7";"86.2";"92.8";"77.5"
"Produits laminés";"337.4";"531.6";"455.2";"342.0";"380.9";"497.9";"539.8";"510.4";"463.6"
"Tréfilés";"10.0";"11.5";"12.3";"12.2";"10.9";"8.5";"5.9";"6.5";"2.7"
"Structures métalliques";"8.8";"9.4";"8.0";"9.2";"9.1";"8.1";"7.8";"7.0";"6.4"
