"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : 1000 pièces";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Production des Pneumatiques";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Voitures touristiques";"172.6";"202.7";"194.5";"194.4";"138.5";"174.8";"196.0";"44.2";"65.8"
"Camionnettes";"286.5";"312.2";"268.4";"201.7";"203.7";"204.4";"153.7";"46.4";"55.5"
"Camions";"101.5";"132.2";"132.6";"104.1";"93.7";"94.4";"98.6";"25.1";"26.9"
"Tracteurs";"36.2";"35.9";"21.0";"15.8";"17.8";"14.5";"18.5";"4.9";"4.3"
"Autres engins";"20.5";"9.3";"9.3";"8.5";"8.5";"9.2";"9.4";"1.8";"2.1"
